task,metric,value,n,split,status
preference,exact_match_accuracy,0.18,50,all,baseline_not_competition_claim
preference,micro_f1,0.2,50,all,baseline_not_competition_claim
preference,macro_f1,0.11111111111111112,50,all,baseline_not_competition_claim
preference,ephemeral_false_positive_rate,0.0,50,all,baseline_not_competition_claim
retrieval,recall_at_k.1,0.22,50,all,baseline_not_competition_claim
retrieval,recall_at_k.3,0.36,50,all,baseline_not_competition_claim
retrieval,recall_at_k.5,0.42,50,all,baseline_not_competition_claim
retrieval,recall_at_k.10,0.52,50,all,baseline_not_competition_claim
retrieval,mrr,0.30752380952380953,50,all,baseline_not_competition_claim
retrieval,latency_ms.p95,1.0,50,all,baseline_not_competition_claim
conflict,joint_accuracy,0.1,20,all,baseline_not_competition_claim
conflict,relation_accuracy,0.25,20,all,baseline_not_competition_claim
conflict,strategy_accuracy,0.1,20,all,baseline_not_competition_claim
conflict,auto_apply_rate,0.44999999999999996,20,all,baseline_not_competition_claim
conflict,predicted_manual_review_rate,0.55,20,all,baseline_not_competition_claim
forget,preview_precision,0.7083333333333333,20,all,baseline_not_competition_claim
forget,preview_recall,0.95,20,all,baseline_not_competition_claim
forget,execute_success_rate,0.45,20,all,baseline_not_competition_claim
forget,false_delete_count,10,20,all,baseline_not_competition_claim
security,block_accuracy,1.0,10,all,baseline_not_competition_claim
security,entity_type_accuracy,0.9,10,all,baseline_not_competition_claim
security,joint_accuracy,0.9,10,all,baseline_not_competition_claim
latency,p50_ms,1.0,50,all,baseline_not_competition_claim
latency,p95_ms,1.5,50,all,baseline_not_competition_claim
latency,mean_ms,0.8759999999999999,50,all,baseline_not_competition_claim
